x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-40.10000E-03,+40.20100E-03,-6.15515080E+00,-8.04020E-03,+0.0E+00
-40.05000E-03,+20.10050E-03,-5.75314075E+00,-8.04020E-03,-201.00503E-03
-40.00000E-03,+60.30151E-03,-5.35113069E+00,-16.08040E-03,-0.0E+00
-39.95000E-03,+40.20100E-03,-4.94912064E+00,-8.04020E-03,-201.00503E-03
-39.90000E-03,+40.20100E-03,-4.54711059E+00,-8.04020E-03,-201.00503E-03
-39.85000E-03,+40.20100E-03,-4.14510053E+00,-8.04020E-03,-201.00503E-03
-39.80000E-03,+40.20100E-03,-3.74309048E+00,-8.04020E-03,-0.0E+00
-39.75000E-03,+40.20100E-03,-3.54208545E+00,-16.08040E-03,-201.00503E-03
-39.70000E-03,+40.20100E-03,-3.14007540E+00,-8.04020E-03,-0.0E+00
-39.65000E-03,+40.20100E-03,-2.93907037E+00,-8.04020E-03,-201.00503E-03
-39.60000E-03,+40.20100E-03,-2.53706032E+00,-8.04020E-03,+0.0E+00
-39.55000E-03,+40.20100E-03,-2.33605529E+00,-0.0E+00,-201.00503E-03
-39.50000E-03,+40.20100E-03,-2.13505027E+00,-8.04020E-03,+0.0E+00
-39.45000E-03,+40.20100E-03,-1.93404524E+00,-0.0E+00,-201.00503E-03
-39.40000E-03,+40.20100E-03,-1.73304021E+00,-8.04020E-03,-0.0E+00
-39.35000E-03,+40.20100E-03,-1.53203519E+00,-8.04020E-03,+0.0E+00
-39.30000E-03,+40.20100E-03,-1.13002513E+00,-8.04020E-03,-201.00503E-03
-39.25000E-03,+40.20100E-03,-728.01508E-03,-8.04020E-03,-0.0E+00
-39.20000E-03,+60.30151E-03,-728.01508E-03,-8.04020E-03,+0.0E+00
-39.15000E-03,+40.20100E-03,-527.01005E-03,-0.0E+00,-201.00503E-03
-39.10000E-03,+40.20100E-03,-125.00000E-03,-16.08040E-03,+0.0E+00
-39.05000E-03,+40.20100E-03,-125.00000E-03,-8.04020E-03,-201.00503E-03
-39.00000E-03,+40.20100E-03,+76.00503E-03,-8.04020E-03,+0.0E+00
-38.95000E-03,+40.20100E-03,+76.00503E-03,-8.04020E-03,-0.0E+00
-38.90000E-03,+40.20100E-03,+76.00503E-03,-8.04020E-03,-0.0E+00
-38.85000E-03,+60.30151E-03,+76.00503E-03,-8.04020E-03,+0.0E+00
-38.80000E-03,+40.20100E-03,+76.00503E-03,-8.04020E-03,-0.0E+00
-38.75000E-03,+40.20100E-03,+277.01005E-03,-8.04020E-03,+0.0E+00
-38.70000E-03,+40.20100E-03,+277.01005E-03,-8.04020E-03,-0.0E+00
-38.65000E-03,+60.30151E-03,+478.01508E-03,-0.0E+00,-0.0E+00
-38.60000E-03,+80.40201E-03,+679.02011E-03,+8.04020E-03,-0.0E+00
-38.55000E-03,+80.40201E-03,+679.02011E-03,+24.12060E-03,+0.0E+00
-38.50000E-03,+100.50251E-03,+679.02011E-03,+32.16080E-03,+0.0E+00
-38.45000E-03,+140.70352E-03,+880.02513E-03,+72.36181E-03,+0.0E+00
-38.40000E-03,+180.90452E-03,+880.02513E-03,+104.52261E-03,+201.00503E-03
-38.35000E-03,+241.20603E-03,+1.08103016E+00,+144.72362E-03,+201.00503E-03
-38.30000E-03,+301.50753E-03,+1.28203519E+00,+176.88442E-03,+201.00503E-03
-38.25000E-03,+341.70854E-03,+1.28203519E+00,+217.08542E-03,+603.01508E-03
-38.20000E-03,+402.01005E-03,+1.48304021E+00,+257.28643E-03,+804.02011E-03
-38.15000E-03,+462.31155E-03,+1.68404524E+00,+289.44723E-03,+1.00502513E+00
-38.10000E-03,+502.51256E-03,+1.88505027E+00,+313.56784E-03,+1.20603016E+00
-38.05000E-03,+542.71356E-03,+2.28706032E+00,+329.64824E-03,+1.40703519E+00
-38.00000E-03,+603.01507E-03,+2.28706032E+00,+369.84924E-03,+1.60804021E+00
-37.95000E-03,+643.21607E-03,+2.68907037E+00,+393.96985E-03,+1.80904524E+00
-37.90000E-03,+703.51758E-03,+3.09108043E+00,+418.09045E-03,+2.01005027E+00
-37.85000E-03,+743.71859E-03,+3.29208545E+00,+458.29145E-03,+2.21105529E+00
-37.80000E-03,+804.02009E-03,+3.49309048E+00,+466.33165E-03,+2.61306535E+00
-37.75000E-03,+864.32160E-03,+3.69409551E+00,+482.41206E-03,+2.81407037E+00
-37.70000E-03,+904.52260E-03,+4.09610556E+00,+498.49246E-03,+3.21608043E+00
-37.65000E-03,+944.72361E-03,+4.29711059E+00,+522.61306E-03,+3.41708545E+00
-37.60000E-03,+984.92461E-03,+4.69912064E+00,+530.65326E-03,+3.61809048E+00
-37.55000E-03,+1.02512562E+00,+4.90012567E+00,+530.65326E-03,+4.02010053E+00
-37.50000E-03,+1.04522612E+00,+5.30213572E+00,+530.65326E-03,+4.42211059E+00
-37.45000E-03,+1.08542712E+00,+5.50314075E+00,+538.69346E-03,+4.62311561E+00
-37.40000E-03,+1.10552763E+00,+5.90515080E+00,+530.65326E-03,+4.82412064E+00
-37.35000E-03,+1.12562813E+00,+6.10615583E+00,+530.65326E-03,+5.22613069E+00
-37.30000E-03,+1.14572863E+00,+6.50816588E+00,+522.61306E-03,+5.42713572E+00
-37.25000E-03,+1.16582913E+00,+6.50816588E+00,+522.61306E-03,+5.62814075E+00
-37.20000E-03,+1.18592964E+00,+6.91017593E+00,+498.49246E-03,+6.03015080E+00
-37.15000E-03,+1.20603014E+00,+7.11118096E+00,+482.41206E-03,+6.23115583E+00
-37.10000E-03,+1.20603014E+00,+7.31218599E+00,+490.45226E-03,+6.43216085E+00
-37.05000E-03,+1.22613064E+00,+7.71419604E+00,+466.33165E-03,+6.63316588E+00
-37.00000E-03,+1.22613064E+00,+7.91520107E+00,+466.33165E-03,+6.83417091E+00
-36.95000E-03,+1.24623114E+00,+8.11620609E+00,+458.29145E-03,+7.03517593E+00
-36.90000E-03,+1.26633164E+00,+8.31721112E+00,+442.21105E-03,+7.23618096E+00
-36.85000E-03,+1.26633164E+00,+8.51821615E+00,+418.09045E-03,+7.43718599E+00
-36.80000E-03,+1.26633164E+00,+8.71922117E+00,+402.01005E-03,+7.63819101E+00
-36.75000E-03,+1.26633164E+00,+8.71922117E+00,+385.92964E-03,+7.83919604E+00
-36.70000E-03,+1.26633164E+00,+8.92022620E+00,+385.92964E-03,+8.04020107E+00
-36.65000E-03,+1.28643215E+00,+9.32223625E+00,+369.84924E-03,+8.24120609E+00
-36.60000E-03,+1.32663315E+00,+9.52324128E+00,+393.96985E-03,+8.44221112E+00
-36.55000E-03,+1.34673365E+00,+9.52324128E+00,+393.96985E-03,+8.64321615E+00
-36.50000E-03,+1.38693466E+00,+9.92525133E+00,+410.05025E-03,+8.84422117E+00
-36.45000E-03,+1.42713566E+00,+10.12625636E+00,+426.13065E-03,+9.24623123E+00
-36.40000E-03,+1.48743717E+00,+10.32726139E+00,+442.21105E-03,+9.44723625E+00
-36.35000E-03,+1.52763817E+00,+10.72927144E+00,+450.25125E-03,+9.64824128E+00
-36.30000E-03,+1.54773868E+00,+10.72927144E+00,+458.29145E-03,+9.84924631E+00
-36.25000E-03,+1.56783918E+00,+11.13128150E+00,+442.21105E-03,+10.05025133E+00
-36.20000E-03,+1.58793968E+00,+11.33228652E+00,+458.29145E-03,+10.45226139E+00
-36.15000E-03,+1.58793968E+00,+11.53329155E+00,+426.13065E-03,+10.45226139E+00
-36.10000E-03,+1.58793968E+00,+11.73429658E+00,+418.09045E-03,+10.65326642E+00
-36.05000E-03,+1.58793968E+00,+11.93530160E+00,+393.96985E-03,+10.85427144E+00
-36.00000E-03,+1.58793968E+00,+11.93530160E+00,+385.92964E-03,+11.05527647E+00
-35.95000E-03,+1.58793968E+00,+12.13630663E+00,+353.76884E-03,+11.25628150E+00
-35.90000E-03,+1.58793968E+00,+12.33731166E+00,+337.68844E-03,+11.45728652E+00
-35.85000E-03,+1.58793968E+00,+12.53831668E+00,+329.64824E-03,+11.45728652E+00
-35.80000E-03,+1.58793968E+00,+12.53831668E+00,+321.60804E-03,+11.85929658E+00
-35.75000E-03,+1.58793968E+00,+12.73932171E+00,+305.52763E-03,+11.85929658E+00
-35.70000E-03,+1.60804018E+00,+12.73932171E+00,+313.56784E-03,+12.06030160E+00
-35.65000E-03,+1.62814069E+00,+12.94032674E+00,+305.52763E-03,+12.06030160E+00
-35.60000E-03,+1.64824119E+00,+13.34233679E+00,+321.60804E-03,+12.26130663E+00
-35.55000E-03,+1.66834169E+00,+13.34233679E+00,+313.56784E-03,+12.46231166E+00
-35.50000E-03,+1.68844219E+00,+13.54334182E+00,+329.64824E-03,+12.66331668E+00
-35.45000E-03,+1.70854270E+00,+13.94535187E+00,+329.64824E-03,+12.66331668E+00
-35.40000E-03,+1.74874370E+00,+13.94535187E+00,+337.68844E-03,+12.86432171E+00
-35.35000E-03,+1.74874370E+00,+14.14635690E+00,+337.68844E-03,+13.06532674E+00
-35.30000E-03,+1.78894470E+00,+14.14635690E+00,+345.72864E-03,+13.26633176E+00
-35.25000E-03,+1.80904521E+00,+14.54836695E+00,+337.68844E-03,+13.46733679E+00
-35.20000E-03,+1.80904521E+00,+14.74937198E+00,+337.68844E-03,+13.66834182E+00
-35.15000E-03,+1.80904521E+00,+14.95037700E+00,+329.64824E-03,+13.86934684E+00
-35.10000E-03,+1.80904521E+00,+14.95037700E+00,+313.56784E-03,+14.07035187E+00
-35.05000E-03,+1.80904521E+00,+15.15138203E+00,+305.52763E-03,+14.07035187E+00
-35.00000E-03,+1.80904521E+00,+15.15138203E+00,+289.44723E-03,+14.27135690E+00
