x-axis,1,2,3,F1
second,Volt,Volt,Volt,Volt
+665.0000E-06,-434.9547691E-03,-884.4221011E-03,-160.5527621E-03,+538.3855216E-03
+665.2500E-06,-416.1105482E-03,-884.4221011E-03,-160.8040184E-03,+483.1029288E-03
+665.5000E-06,-416.1105482E-03,-884.4221011E-03,-160.8040184E-03,+483.1029288E-03
+665.7500E-06,-396.0100459E-03,-804.0200919E-03,-160.8040184E-03,+434.1069571E-03
+666.0000E-06,-396.0100459E-03,-804.0200919E-03,-160.8040184E-03,+427.8203361E-03
+666.2500E-06,-396.0100459E-03,-723.6180827E-03,-160.8040184E-03,+367.5786369E-03
+666.5000E-06,-384.7035133E-03,-723.6180827E-03,-160.8040184E-03,+353.7389152E-03
+666.7500E-06,-375.9095436E-03,-723.6180827E-03,-160.8040184E-03,+362.4974601E-03
+667.0000E-06,-374.6532622E-03,-723.6180827E-03,-160.8040184E-03,+362.4974601E-03
+667.2500E-06,-341.9899460E-03,-643.2160735E-03,-160.8040184E-03,+302.1947257E-03
+667.5000E-06,-355.8090413E-03,-643.2160735E-03,-160.8040184E-03,+302.1947257E-03
+667.7500E-06,-352.0401971E-03,-562.8140643E-03,-161.5577872E-03,+305.9483878E-03
+668.0000E-06,-335.7085390E-03,-562.8140643E-03,-164.5728626E-03,+241.8919913E-03
+668.2500E-06,-335.7085390E-03,-537.6884364E-03,-163.5678374E-03,+241.8919913E-03
+668.5000E-06,-324.4020064E-03,-482.4120551E-03,-164.8241188E-03,+241.8919913E-03
+668.7500E-06,-315.6080367E-03,-482.4120551E-03,-161.5577872E-03,+161.5697257E-03
+669.0000E-06,-315.6080367E-03,-482.4120551E-03,-164.8241188E-03,+256.8913809E-03
+669.2500E-06,-315.6080367E-03,-482.4120551E-03,-164.8241188E-03,+181.5892570E-03
+669.5000E-06,-295.5075344E-03,-402.0100459E-03,-164.8241188E-03,+156.4275138E-03
+669.7500E-06,-275.4070321E-03,-402.0100459E-03,-164.8241188E-03,+121.2865226E-03
+670.0000E-06,-276.6633135E-03,-402.0100459E-03,-164.8241188E-03,+140.0548331E-03
+670.2500E-06,-275.4070321E-03,-376.8844180E-03,-164.8241188E-03,+141.3060538E-03
+670.5000E-06,-264.1004996E-03,-321.6080368E-03,-163.0653249E-03,+60.9837882E-03
+670.7500E-06,-275.4070321E-03,-321.6080368E-03,-164.8241188E-03,+126.2456291E-03
+671.0000E-06,-255.3065298E-03,-316.5829111E-03,-164.8241188E-03,+62.2350089E-03
+671.2500E-06,-249.0251228E-03,-241.2060276E-03,-164.8241188E-03,+681.0538E-06
+671.5000E-06,-235.2060275E-03,-241.2060276E-03,-164.8241188E-03,+11.9420402E-03
+671.7500E-06,-235.2060275E-03,-160.8040184E-03,-161.5577872E-03,-59.6216805E-03
+672.0000E-06,-233.9497461E-03,-160.8040184E-03,-164.8241188E-03,-58.3704598E-03
+672.2500E-06,-215.1055252E-03,-160.8040184E-03,-164.8241188E-03,-39.6021493E-03
+672.5000E-06,-206.3115555E-03,-125.6281394E-03,-164.8241188E-03,-30.8436044E-03
+672.7500E-06,-195.0050229E-03,-80.4020092E-03,-168.0904505E-03,-103.6585457E-03
+673.0000E-06,-176.1608020E-03,-80.4020092E-03,-164.8241188E-03,-99.9048837E-03
+673.2500E-06,-181.1859276E-03,-25.1256279E-03,-164.8241188E-03,-99.9048837E-03
+673.5000E-06,-174.9045206E-03,+0.0E+00,-163.0653249E-03,-125.0666269E-03
+673.7500E-06,-158.5728625E-03,+0.0E+00,-168.0904505E-03,-143.9417489E-03
+674.0000E-06,-154.8040183E-03,+80.4020092E-03,-164.8241188E-03,-158.9563973E-03
+674.2500E-06,-154.8040183E-03,+25.1256279E-03,-164.8241188E-03,-165.2887948E-03
+674.5000E-06,-154.8040183E-03,+80.4020092E-03,-164.8241188E-03,-220.5103524E-03
+674.7500E-06,-134.7035160E-03,+95.4773859E-03,-164.0703500E-03,-200.4908212E-03
